model,model_label,seed,class_id,class,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,4,Missing,20,20,8,0,0.7142857142857143,1.0,0.8333333333333333,0.997171145685997,0.6907675497544992,0.0,0.2857142857142857,0.08
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,5,Normal,519,518,28,1,0.9487179487179487,0.9980732177263969,0.9727699530516432,0.9875449118426323,0.9505696478073489,0.0019267822736031004,0.05128205128205132,0.28
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,0,Deformed,20,7,26,13,0.21212121212121213,0.35,0.26415094339622636,0.34144496028290455,0.3148988735934177,0.65,0.7878787878787878,0.26
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,1,Displaced,20,10,35,10,0.2222222222222222,0.5,0.30769230769230765,0.27941205586323264,0.25132538208329225,0.5,0.7777777777777778,0.35
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,2,Fractured,20,8,17,12,0.32,0.4,0.35555555555555557,0.33459441152308084,0.2929468169185256,0.6,0.6799999999999999,0.17
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,3,Inverted,20,8,28,12,0.2222222222222222,0.4,0.2857142857142857,0.32559701497326665,0.2994333223135396,0.6,0.7777777777777778,0.28
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,4,Missing,20,17,12,3,0.5862068965517241,0.85,0.6938775510204082,0.8688765424329132,0.6365385841787601,0.15000000000000002,0.4137931034482759,0.12
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,5,Normal,519,517,70,2,0.8807495741056218,0.9961464354527938,0.9349005424954792,0.983321641497643,0.954437460737848,0.003853564547206201,0.11925042589437818,0.7
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,0,Deformed,20,11,5,9,0.6875,0.55,0.6111111111111112,0.6467031269603377,0.5912976475841308,0.44999999999999996,0.3125,0.05
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,1,Displaced,20,13,27,7,0.325,0.65,0.43333333333333335,0.4283697860058571,0.4006101160721613,0.35,0.675,0.27
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,2,Fractured,20,10,9,10,0.5263157894736842,0.5,0.5128205128205129,0.609758266987386,0.5354762438411492,0.5,0.4736842105263158,0.09
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,3,Inverted,20,15,8,5,0.6521739130434783,0.75,0.6976744186046512,0.8416036488713595,0.7794367195915205,0.25,0.34782608695652173,0.08
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,4,Missing,20,19,4,1,0.8260869565217391,0.95,0.8837209302325583,0.9514851485148513,0.7052514404663967,0.050000000000000044,0.17391304347826086,0.04
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,5,Normal,519,516,36,3,0.9347826086956522,0.9942196531791907,0.9635854341736695,0.9862564366683431,0.9627262669873525,0.005780346820809301,0.06521739130434778,0.36
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,0,Deformed,20,8,18,12,0.3076923076923077,0.4,0.34782608695652173,0.28400474026497663,0.2570111543737266,0.6,0.6923076923076923,0.18
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,1,Displaced,20,7,16,13,0.30434782608695654,0.35,0.3255813953488372,0.31284174475824694,0.28443282837991535,0.65,0.6956521739130435,0.16
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,2,Fractured,20,9,12,11,0.42857142857142855,0.45,0.4390243902439024,0.4657485485728915,0.3861396367685305,0.55,0.5714285714285714,0.12
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,3,Inverted,20,6,6,14,0.5,0.3,0.37499999999999994,0.5155080479836832,0.47478284457352793,0.7,0.5,0.06
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,4,Missing,20,14,7,6,0.6666666666666666,0.7,0.6829268292682926,0.7196105597540343,0.5005322023846478,0.30000000000000004,0.33333333333333337,0.07
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,5,Normal,519,507,41,12,0.9251824817518248,0.976878612716763,0.950328022492971,0.9841624618873778,0.9553023299615264,0.023121387283236983,0.07481751824817517,0.41
fcos_r50_fpn,FCOS R50-FPN,20260908,0,Deformed,20,17,543,3,0.030357142857142857,0.85,0.05862068965517242,0.03350083752093802,0.03235930508869221,0.15000000000000002,0.9696428571428571,5.43
fcos_r50_fpn,FCOS R50-FPN,20260908,1,Displaced,20,17,553,3,0.02982456140350877,0.85,0.0576271186440678,0.03490401396160559,0.03231370257444593,0.15000000000000002,0.9701754385964912,5.53
fcos_r50_fpn,FCOS R50-FPN,20260908,2,Fractured,20,17,562,3,0.02936096718480138,0.85,0.056761268781302165,0.03350083752093802,0.029926862032936957,0.15000000000000002,0.9706390328151986,5.62
fcos_r50_fpn,FCOS R50-FPN,20260908,3,Inverted,20,18,560,2,0.031141868512110725,0.9,0.060200668896321065,0.034542314335060435,0.03214145248721762,0.09999999999999998,0.9688581314878892,5.6
fcos_r50_fpn,FCOS R50-FPN,20260908,4,Missing,20,9,550,11,0.016100178890876567,0.45,0.031088082901554407,0.03200000000000001,0.02604812173828221,0.55,0.9838998211091234,5.5
fcos_r50_fpn,FCOS R50-FPN,20260908,5,Normal,519,516,206,3,0.7146814404432132,0.9942196531791907,0.8315874294923448,0.9609171757743504,0.9415109023721311,0.005780346820809301,0.28531855955678675,2.06
fcos_r50_fpn,FCOS R50-FPN,20260909,0,Deformed,20,7,27,13,0.20588235294117646,0.35,0.25925925925925924,0.2739220605967594,0.26568048721479665,0.65,0.7941176470588236,0.27
fcos_r50_fpn,FCOS R50-FPN,20260909,1,Displaced,20,9,27,11,0.25,0.45,0.32142857142857145,0.23556900939159411,0.22148783856743254,0.55,0.75,0.27
fcos_r50_fpn,FCOS R50-FPN,20260909,2,Fractured,20,11,20,9,0.3548387096774194,0.55,0.43137254901960786,0.4727703080964529,0.43394580976332886,0.44999999999999996,0.6451612903225806,0.2
fcos_r50_fpn,FCOS R50-FPN,20260909,3,Inverted,20,11,23,9,0.3235294117647059,0.55,0.4074074074074075,0.5629378783789751,0.5124198697996757,0.44999999999999996,0.6764705882352942,0.23
fcos_r50_fpn,FCOS R50-FPN,20260909,4,Missing,20,18,11,2,0.6206896551724138,0.9,0.7346938775510204,0.8687851897665525,0.7291164125300699,0.09999999999999998,0.3793103448275862,0.11
fcos_r50_fpn,FCOS R50-FPN,20260909,5,Normal,519,514,37,5,0.9328493647912885,0.9903660886319846,0.9607476635514018,0.9854703770585357,0.967035926596297,0.009633911368015391,0.06715063520871145,0.37
fcos_r50_fpn,FCOS R50-FPN,20260910,0,Deformed,20,5,88,15,0.053763440860215055,0.25,0.08849557522123894,0.09008385859954797,0.0871982955493795,0.75,0.946236559139785,0.88
fcos_r50_fpn,FCOS R50-FPN,20260910,1,Displaced,20,8,86,12,0.0851063829787234,0.4,0.14035087719298245,0.2246418501217366,0.20828362010218066,0.6,0.9148936170212766,0.86
fcos_r50_fpn,FCOS R50-FPN,20260910,2,Fractured,20,6,48,14,0.1111111111111111,0.3,0.16216216216216217,0.16421004888632681,0.156010626933055,0.7,0.8888888888888888,0.48
fcos_r50_fpn,FCOS R50-FPN,20260910,3,Inverted,20,6,59,14,0.09230769230769231,0.3,0.1411764705882353,0.1366574701675053,0.1308562035025162,0.7,0.9076923076923077,0.59
fcos_r50_fpn,FCOS R50-FPN,20260910,4,Missing,20,8,20,12,0.2857142857142857,0.4,0.3333333333333333,0.2937296852492387,0.25534778046634815,0.6,0.7142857142857143,0.2
fcos_r50_fpn,FCOS R50-FPN,20260910,5,Normal,519,494,60,25,0.8916967509025271,0.9518304431599229,0.9207828518173347,0.9653358341571299,0.9472772984883578,0.048169556840077066,0.10830324909747291,0.6
rtdetr_l,RT-DETR-L,20260908,0,Deformed,20,7,81,13,0.07954545454545454,0.35,0.12962962962962962,0.18024730999182034,0.1708803807631368,0.65,0.9204545454545454,0.81
rtdetr_l,RT-DETR-L,20260908,1,Displaced,20,17,163,3,0.09444444444444444,0.85,0.16999999999999998,0.4064775224263054,0.3793331165545989,0.15000000000000002,0.9055555555555556,1.63
rtdetr_l,RT-DETR-L,20260908,2,Fractured,20,8,61,12,0.11594202898550725,0.4,0.1797752808988764,0.20294791419635153,0.1790985269488206,0.6,0.8840579710144928,0.61
rtdetr_l,RT-DETR-L,20260908,3,Inverted,20,17,297,3,0.054140127388535034,0.85,0.10179640718562875,0.20447123854905055,0.187124434594864,0.15000000000000002,0.945859872611465,2.97
