model,model_label,seed,class_id,class,operating_threshold,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
rtdetr_l,RT-DETR-L,20260909,5,Normal,0.34,582,579,267,3,0.6843971631205674,0.9948453608247423,0.8109243697478992,0.9267162227002411,0.8663326357043853,0.005154639175257714,0.3156028368794326,2.67
rtdetr_l,RT-DETR-L,20260910,0,Deformed,0.44,3,0,33,3,0.0,0.0,0.0,0.004807002439374372,0.0022624001530587847,1.0,1.0,0.33
rtdetr_l,RT-DETR-L,20260910,1,Displaced,0.44,6,0,0,6,0.0,0.0,0.0,0.18278599218178,0.1661555080856732,1.0,nan,0.0
rtdetr_l,RT-DETR-L,20260910,2,Fractured,0.44,2,0,0,2,0.0,0.0,0.0,0.028483957418298227,0.028483957418298227,1.0,nan,0.0
rtdetr_l,RT-DETR-L,20260910,3,Inverted,0.44,4,0,7,4,0.0,0.0,0.0,0.029161359659049722,0.02916135965904972,1.0,1.0,0.07
rtdetr_l,RT-DETR-L,20260910,4,Missing,0.44,5,0,0,5,0.0,0.0,0.0,0.526952695269527,0.4875428719342523,1.0,nan,0.0
rtdetr_l,RT-DETR-L,20260910,5,Normal,0.44,582,481,1526,101,0.23966118584952667,0.8264604810996563,0.37157203553495566,0.49367580432400016,0.4759123733120239,0.1735395189003437,0.7603388141504733,15.26
yolo11m,YOLO11m,20260908,0,Deformed,0.57,3,3,6,0,0.3333333333333333,1.0,0.5,0.865346534653465,0.865346534653465,0.0,0.6666666666666667,0.06
yolo11m,YOLO11m,20260908,1,Displaced,0.57,6,3,35,3,0.07894736842105263,0.5,0.13636363636363635,0.16657937694038946,0.1568958327773478,0.5,0.9210526315789473,0.35
yolo11m,YOLO11m,20260908,2,Fractured,0.57,2,1,1,1,0.5,0.5,0.5,0.7524752475247525,0.7524752475247525,0.5,0.5,0.01
yolo11m,YOLO11m,20260908,3,Inverted,0.57,4,4,0,0,1.0,1.0,1.0,1.0,0.9381188118811881,0.0,0.0,0.0
yolo11m,YOLO11m,20260908,4,Missing,0.57,5,5,1,0,0.8333333333333334,1.0,0.9090909090909091,1.0,0.8777227722772277,0.0,0.16666666666666663,0.01
yolo11m,YOLO11m,20260908,5,Normal,0.57,582,537,2,45,0.9962894248608535,0.9226804123711341,0.9580731489741303,0.9600551250821311,0.9358918123853236,0.07731958762886593,0.0037105751391465214,0.02
yolo11m,YOLO11m,20260909,0,Deformed,0.36,3,3,8,0,0.2727272727272727,1.0,0.42857142857142855,0.9158415841584159,0.8742574257425743,0.0,0.7272727272727273,0.08
yolo11m,YOLO11m,20260909,1,Displaced,0.36,6,4,24,2,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.1197589324149806,0.11283254412397761,0.33333333333333337,0.8571428571428572,0.24
yolo11m,YOLO11m,20260909,2,Fractured,0.36,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,1.0,0.0,0.33333333333333337,0.01
yolo11m,YOLO11m,20260909,3,Inverted,0.36,4,4,0,0,1.0,1.0,1.0,1.0,0.969059405940594,0.0,0.0,0.0
yolo11m,YOLO11m,20260909,4,Missing,0.36,5,5,0,0,1.0,1.0,1.0,1.0,0.8574257425742573,0.0,0.0,0.0
yolo11m,YOLO11m,20260909,5,Normal,0.36,582,565,2,17,0.9964726631393298,0.9707903780068728,0.9834638816362054,0.9799707381595704,0.961152623852939,0.029209621993127155,0.003527336860670194,0.02
yolo11m,YOLO11m,20260910,0,Deformed,0.36,3,3,3,0,0.5,1.0,0.6666666666666666,1.0,0.9554455445544555,0.0,0.5,0.03
yolo11m,YOLO11m,20260910,1,Displaced,0.36,6,6,71,0,0.07792207792207792,1.0,0.14457831325301204,0.1544961681555807,0.14640608668565447,0.0,0.922077922077922,0.71
yolo11m,YOLO11m,20260910,2,Fractured,0.36,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
yolo11m,YOLO11m,20260910,3,Inverted,0.36,4,4,0,0,1.0,1.0,1.0,1.0,0.9564356435643564,0.0,0.0,0.0
yolo11m,YOLO11m,20260910,4,Missing,0.36,5,5,0,0,1.0,1.0,1.0,1.0,0.9801980198019802,0.0,0.0,0.0
yolo11m,YOLO11m,20260910,5,Normal,0.36,582,526,1,56,0.9981024667931688,0.9037800687285223,0.9486023444544635,0.9207184658986345,0.9037902065738844,0.09621993127147765,0.00189753320683117,0.01
yolov10m,YOLOv10m,20260908,0,Deformed,0.2,3,3,3,0,0.5,1.0,0.6666666666666666,0.8316831683168316,0.8316831683168318,0.0,0.5,0.03
yolov10m,YOLOv10m,20260908,1,Displaced,0.2,6,5,80,1,0.058823529411764705,0.8333333333333334,0.10989010989010989,0.1139248540238639,0.10530606280663843,0.16666666666666663,0.9411764705882353,0.8
yolov10m,YOLOv10m,20260908,2,Fractured,0.2,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,0.5,0.02
yolov10m,YOLOv10m,20260908,3,Inverted,0.2,4,4,5,0,0.4444444444444444,1.0,0.6153846153846153,1.0,1.0,0.0,0.5555555555555556,0.05
yolov10m,YOLOv10m,20260908,4,Missing,0.2,5,5,0,0,1.0,1.0,1.0,1.0,0.9452970297029702,0.0,0.0,0.0
yolov10m,YOLOv10m,20260908,5,Normal,0.2,582,515,3,67,0.9942084942084942,0.8848797250859106,0.9363636363636364,0.9887061419524349,0.9696498813956695,0.11512027491408938,0.00579150579150578,0.03
yolov10m,YOLOv10m,20260909,0,Deformed,0.24,3,1,1,2,0.5,0.3333333333333333,0.4,0.6262376237623762,0.6262376237623763,0.6666666666666667,0.5,0.01
yolov10m,YOLOv10m,20260909,1,Displaced,0.24,6,1,11,5,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.13573085107738575,0.1238810097225939,0.8333333333333334,0.9166666666666666,0.11
yolov10m,YOLOv10m,20260909,2,Fractured,0.24,2,2,0,0,1.0,1.0,1.0,1.0,0.9504950495049505,0.0,0.0,0.0
yolov10m,YOLOv10m,20260909,3,Inverted,0.24,4,4,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
yolov10m,YOLOv10m,20260909,4,Missing,0.24,5,4,0,1,1.0,0.8,0.888888888888889,1.0,0.8846001523229245,0.19999999999999996,0.0,0.0
yolov10m,YOLOv10m,20260909,5,Normal,0.24,582,548,8,34,0.9856115107913669,0.9415807560137457,0.9630931458699473,0.9880416314868016,0.9689865073239678,0.05841924398625431,0.014388489208633115,0.08
yolov10m,YOLOv10m,20260910,0,Deformed,0.12,3,3,17,0,0.15,1.0,0.2608695652173913,0.8341584158415841,0.7839108910891088,0.0,0.85,0.17
yolov10m,YOLOv10m,20260910,1,Displaced,0.12,6,5,57,1,0.08064516129032258,0.8333333333333334,0.14705882352941174,0.09220492202432963,0.08645276647236398,0.16666666666666663,0.9193548387096774,0.57
yolov10m,YOLOv10m,20260910,2,Fractured,0.12,2,2,8,0,0.2,1.0,0.33333333333333337,1.0,1.0,0.0,0.8,0.08
yolov10m,YOLOv10m,20260910,3,Inverted,0.12,4,4,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
yolov10m,YOLOv10m,20260910,4,Missing,0.12,5,5,0,0,1.0,1.0,1.0,1.0,0.9577086280056577,0.0,0.0,0.0
yolov10m,YOLOv10m,20260910,5,Normal,0.12,582,530,7,52,0.9869646182495344,0.9106529209621993,0.9472743521000893,0.9676479683847228,0.9456419238748512,0.0893470790378007,0.013035381750465591,0.07
